Name,43F,44F,45F,46F,47F,48F,71F,72F,73F,74F,75F,76F,77F,78F,79F,80F,81F,82F,83F,84F,85F,86F,87F,88F,89F,90F,37F,38F,39F,40F,41F,42F
OTU001,213,14,22,227,84,285,132,3,35,33,37,74,22,30,11,7,30,18,17,26,26,38,16,9,100,20,94,426,27,5,320,63
OTU002,154,13,14,106,47,232,113,2,22,22,28,38,28,26,9,1,18,18,16,7,15,34,5,9,26,14,97,303,18,3,253,40
OTU003,1049,23,49,472,142,606,41,2,3,16,21,25,73,27,1,2,52,10,5,23,13,19,18,9,37,17,1077,1258,104,27,336,148
OTU004,19,2,0,0,0,0,1,0,5,1,1,2,1,5,0,0,7,0,3,15,2,2,1,0,2,0,113,0,39,30,0,1060
OTU005,77,10,2,84,19,93,29,1,13,25,8,26,20,5,0,1,9,3,19,7,6,13,6,4,29,11,55,79,18,1,84,29
OTU006,169,42,8,190,46,187,72,0,33,32,25,57,49,16,5,1,27,18,46,18,14,27,21,9,77,13,49,214,26,4,381,36
OTU007,22,1,3,0,3,10,155,15,21,46,174,213,222,157,8,2,261,97,19,308,28,103,41,33,212,56,45,5,0,1,7,0
OTU008,46,2,2,45,14,32,51,0,14,7,18,11,12,9,0,0,30,18,2,18,7,14,7,4,18,3,19,45,4,1,54,3
OTU009,0,0,0,0,0,0,77,15,43,27,143,107,179,164,3,2,130,46,14,209,18,62,34,27,109,29,0,0,0,0,0,1
OTU010,115,8,6,28,12,81,21,0,10,5,7,19,3,8,0,2,10,2,2,14,3,2,7,1,33,7,13,115,18,0,55,2
OTU011,123,5,3,27,17,54,35,1,17,6,5,12,6,31,2,0,8,6,3,11,4,4,2,3,25,2,38,35,6,1,27,3
OTU012,32,7,13,59,13,52,38,0,6,18,11,13,3,5,1,0,9,3,13,8,8,9,8,0,15,2,55,70,4,0,129,6
OTU013,0,21,2,0,0,0,0,0,475,4,1,1,2,1,2,5,0,3,7,11,161,204,533,90,3,123,111,0,602,177,2,657
OTU014,0,0,0,0,1,0,44,6,11,28,62,65,94,57,6,2,87,11,8,88,14,32,16,6,83,15,0,0,0,0,1,0
OTU015,142,5,4,54,13,94,195,22,56,60,160,225,202,133,16,9,289,47,26,334,55,88,58,28,206,73,53,100,12,1,186,7
OTU016,139,1,4,72,5,83,43,0,5,5,11,24,37,34,6,1,13,17,6,16,5,3,8,0,19,14,84,80,3,5,455,21
OTU017,44,1,7,29,27,34,37,1,14,6,23,9,8,32,7,2,5,7,13,25,5,7,36,9,40,6,17,85,4,0,68,6
OTU018,95,14,8,80,40,200,93,1,16,22,31,32,20,15,13,1,15,13,10,8,5,16,17,9,25,21,87,199,15,8,206,34
OTU019,3,1,0,2,0,1,836,85,163,299,906,1178,1500,1098,48,24,1307,313,132,1544,111,493,223,134,1086,171,1,2,0,1,6,0
OTU020,3396,8167,6003,572,6391,17,67,9387,10085,8712,48,83,112,2920,11087,13827,59,9494,11585,202,6670,1982,5036,7189,178,5738,450,8,1628,7120,122,476
OTU021,82,11,2,197,48,111,49,5,4,29,40,14,21,8,7,2,39,10,9,13,5,16,8,5,38,18,71,262,21,6,260,25
OTU022,39,2,9,16,28,68,7,0,12,6,14,16,18,25,1,0,6,15,9,7,7,6,7,3,12,11,69,105,11,0,25,23
OTU023,1,0,0,6,0,1,45,1,21,11,38,88,110,98,5,0,92,23,12,120,14,45,16,10,77,17,0,0,0,0,0,2
OTU024,2,0,0,0,2,8,315,36,75,94,267,369,322,283,13,2,374,83,33,463,56,126,67,46,345,91,3,0,0,0,6,0
OTU025,0,0,0,0,0,1,45,3,10,19,41,32,56,25,3,1,76,4,0,61,10,24,4,8,43,9,25,0,0,0,0,2
OTU026,417,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,127,0
OTU027,95,6,11,41,19,101,105,1,20,7,10,3,9,6,1,1,5,16,21,23,1,12,29,2,30,2,60,87,3,0,124,16
OTU028,7,0,0,0,0,0,11,7,8,6,25,4,28,15,0,2,56,3,6,60,6,14,8,3,25,3,5298,517,49,0,0,0
OTU029,24,9,11,125,43,82,21,0,7,8,17,4,0,10,7,0,3,10,3,7,2,6,4,0,11,2,30,117,17,3,96,4
OTU030,18,2,0,48,22,74,14,3,9,5,36,12,22,0,0,2,14,96,45,7,12,21,7,2,7,3,9,120,6,0,23,19
OTU031,30,1,1,3,4,4,1386,559,187,1234,1754,1779,2524,1656,646,150,1549,843,785,2520,452,837,362,616,1461,293,2,6,1,0,8,1
OTU032,673,1,0,0,0,1,0,2,1,0,0,8,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,55,7,0,91,0
OTU033,62,6,3,81,21,122,46,0,42,10,52,73,52,20,0,0,44,20,26,39,20,20,14,6,93,27,58,241,27,4,153,24
OTU034,127,6,24,14,19,60,31,0,21,11,7,7,36,5,3,1,14,5,29,5,9,6,10,7,8,8,47,127,8,3,153,11
OTU035,47,10,1,49,1,88,48,0,34,8,8,26,1,18,3,6,11,7,8,1,1,7,13,4,6,13,12,83,6,0,122,13
OTU036,8,1,0,27,2,47,20,2,7,9,33,43,51,26,2,1,55,8,7,32,8,31,9,8,24,9,0,24,2,1,40,1
OTU037,577,65,61,743,381,597,318,9,112,101,93,180,91,100,26,6,117,59,57,56,47,79,87,31,231,77,642,800,98,14,1119,125
OTU038,1222,152,133,1701,455,1394,927,26,238,259,339,353,359,306,79,23,355,204,179,356,92,244,123,90,544,202,1193,1698,256,24,2413,282
OTU039,92,3,1,84,40,118,55,1,27,19,12,19,8,7,3,0,4,3,12,15,2,6,43,6,30,7,97,59,19,2,144,12
OTU040,72,9,1,45,21,56,28,7,5,14,38,21,30,38,4,7,27,10,19,19,19,13,19,5,37,13,32,87,13,3,80,10
OTU041,57,0,0,0,0,0,10,0,0,4,15,8,17,8,0,0,19,0,0,25,2,5,7,2,1,8,512,9,3,0,4,0
OTU042,60,9,7,72,26,172,43,1,23,20,33,21,67,37,1,2,51,26,3,41,11,25,7,0,54,17,68,97,10,2,270,27
OTU043,467,50,31,327,109,395,363,20,106,117,254,231,279,262,30,9,192,120,67,336,77,148,65,44,292,96,193,561,58,12,748,92
OTU044,363,13,1,16,5,23,14,2,18,5,3,28,16,15,0,4,49,7,5,41,1,9,2,3,18,3,99,42,3,2,117,1
OTU045,24,11,3,87,11,94,32,0,14,14,2,23,5,10,2,2,16,10,3,3,2,6,9,3,18,17,30,111,7,3,202,13
OTU046,5,2,0,2,1,2,533,69,120,194,607,680,878,687,39,18,829,223,88,944,119,287,133,66,549,159,3,1,5,1,6,1
OTU047,1,0,0,0,0,0,45,7,8,43,48,46,43,44,20,4,55,23,24,80,12,24,7,23,44,7,0,0,0,0,0,0
OTU048,30,5,5,15,5,17,27,0,10,1,8,21,27,1,3,3,33,3,4,17,6,13,1,2,17,10,120,79,13,0,120,18
OTU049,170,14,12,302,80,184,69,1,22,13,40,23,17,11,9,1,20,30,11,16,9,23,20,5,43,12,82,165,24,5,206,54
OTU050,5142,558,476,4672,1470,5070,2581,46,972,713,904,1216,805,643,191,59,842,545,469,618,391,759,533,233,1615,621,3242,6017,743,113,7029,1105
OTU051,82,34,1,39,46,115,40,4,53,17,8,23,0,30,5,3,3,3,0,7,8,18,7,1,21,8,88,94,26,2,133,3
OTU052,75,15,3,114,73,138,111,2,67,17,62,68,92,26,8,2,92,29,8,107,29,32,23,15,61,30,54,288,21,4,194,62
OTU053,107,26,10,137,29,77,187,33,52,93,248,313,343,335,26,8,287,106,39,357,63,110,78,52,325,93,64,79,14,2,144,62
OTU054,3,2,0,0,2,0,125,19,29,56,189,160,299,179,7,3,177,55,28,223,27,59,56,20,183,55,3,1,0,1,2,1
OTU055,21,0,0,0,4,0,7,0,5,5,9,28,38,20,3,0,17,10,2,11,2,9,4,2,5,0,312,35,2,0,12,0
OTU056,57,12,22,36,19,38,545,90,115,283,764,986,1090,828,91,28,673,241,164,1442,144,576,124,118,837,138,80,27,17,22,147,38
OTU057,6,8,0,0,0,1,9,0,2,5,19,54,18,26,6,0,19,10,3,18,6,7,9,0,36,4,0,17,0,0,4,5277
OTU058,7,2,2,29,19,12,33,7,6,8,29,52,23,96,1,6,23,15,23,25,4,6,11,111,9,555,6,33,10,3,22,4
OTU059,5,2,0,4,10,0,6,5,0,4,5,17,5,3,0,0,16,6,0,26,1,3,1,0,10,11,0,24,0,0,34,1138
OTU060,185,3,0,0,0,0,21,0,2,5,32,23,18,46,2,1,36,1,2,39,3,11,1,4,17,4,719,67,0,3,16,2
OTU061,19,1,0,11,0,22,50,1,10,8,34,56,72,41,6,1,38,24,2,43,9,11,1,3,91,3,1,34,2,0,9,3
OTU062,22,2,0,20,15,40,46,0,33,10,15,33,41,7,0,3,28,9,3,22,15,7,10,14,33,10,9,121,6,0,45,38
OTU063,30,2,1,111,6,26,6,0,7,1,6,19,7,12,2,0,9,2,2,10,2,12,7,3,5,12,49,110,11,0,146,4
OTU064,173,1,0,2,1,2,28,1,0,1,9,21,10,15,1,0,18,2,2,23,0,6,2,0,25,0,226,26,0,5,16,2
OTU065,50,2,2,82,22,48,39,7,8,9,32,29,31,34,3,4,57,17,9,37,9,21,11,9,61,25,21,66,13,0,83,18
OTU066,149,9,4,136,35,102,55,0,25,17,16,35,16,9,1,3,10,14,8,11,9,15,4,3,23,2,108,59,20,3,192,15
OTU067,0,0,0,0,0,0,45,5,7,13,42,36,56,39,1,1,32,20,10,81,4,28,11,8,54,21,0,0,0,0,0,0
OTU068,1,0,0,0,0,1,34,5,21,9,73,65,129,86,4,0,94,20,8,113,14,30,15,4,81,4,0,0,0,0,5,0
OTU069,3,2,3,15,1,0,177,30,76,66,242,231,252,255,17,4,263,81,35,376,40,104,69,18,249,78,0,14,0,1,5,0
OTU070,24,5,10,37,3,59,25,3,7,8,14,42,21,18,1,0,3,10,11,1,3,11,13,6,21,11,16,161,5,2,64,11
OTU071,0,0,0,0,1,0,56,9,18,33,104,127,164,101,7,0,146,29,11,166,15,59,20,18,116,25,3,0,0,0,0,0
OTU072,1,1,0,12,144,356,314,56,45,142,282,327,528,261,47,6,580,139,65,544,62,174,91,58,567,117,2,18,3,1,13,0
OTU073,60,5,14,32,11,93,7,0,4,7,5,24,14,14,3,0,9,7,12,14,3,6,9,2,24,11,3,49,10,3,44,12
OTU074,5,0,0,0,0,4,99,11,28,27,131,156,165,64,10,1,180,42,10,168,16,33,15,22,105,36,0,0,0,1,0,0
OTU075,19,232,61,0,28,0,0,39,164,7,2,0,4,11,231,43,2,353,18,2,54,211,345,15,0,74,22,0,346,193,1,157
OTU076,9,0,0,0,1,2,14,502,0,694,6,10,16,115,523,171,4,404,558,25,270,9,1,443,14,3,0,0,2,1,0,0
OTU077,13,0,0,0,0,0,129,33,53,41,135,178,199,172,22,1,183,55,31,286,28,115,43,31,101,45,0,0,0,0,0,0
OTU078,14,50,37,7,41,0,0,62,63,58,0,0,0,22,89,86,2,53,61,2,45,11,24,64,0,40,3,0,6,40,0,1
OTU079,0,1,0,0,0,0,282,34,68,98,293,339,462,423,27,13,344,111,46,472,72,129,109,56,207,83,0,0,0,0,0,0
OTU080,0,0,0,0,0,0,131,21,33,44,165,228,209,228,15,3,197,67,21,272,32,55,29,27,186,58,8,0,0,0,10,0
OTU081,958,97,111,864,271,1135,610,4,230,170,260,220,140,132,42,27,133,128,73,133,104,141,147,47,305,158,663,1266,164,33,1487,156
OTU082,0,0,0,0,0,0,15,3,5,21,39,37,35,78,2,0,52,11,5,92,10,28,12,2,48,6,0,0,0,0,0,0
OTU083,1,3,0,0,0,0,0,0,90,0,0,0,0,0,0,1,0,3,0,0,18,30,79,12,1,21,15,0,95,23,0,119
OTU084,13,0,2,3,0,7,114,19,37,53,150,205,410,170,15,7,231,56,9,290,31,81,36,33,209,28,1,0,0,0,8,0
OTU085,21,142,41,0,8,0,23,11,86,11,18,29,23,23,131,2,26,30,21,35,4,60,63,4,13,15,101,10,445,378,21,2263
OTU086,0,0,0,0,0,0,62,7,13,9,47,40,76,21,4,0,49,23,12,88,5,41,13,6,46,12,0,0,0,0,0,7
OTU087,311,31,38,209,68,348,191,3,53,41,65,100,47,52,13,1,87,45,47,38,24,53,20,15,84,42,171,397,31,2,331,52
OTU088,3,1,0,11,2,5,30,8,15,10,25,60,63,44,7,2,49,20,3,51,6,10,19,13,31,8,6,4,2,0,13,0
OTU089,4,3,4,0,1,0,2,1,0,2,4,15,8,6,1,0,2,851,0,7,2,4,4,1,13,3,0,26,0,0,159,15
OTU090,31,64,64,3,52,0,0,76,106,65,0,0,0,15,91,101,2,101,81,1,69,20,39,55,0,70,3,0,18,50,0,4
OTU091,0,0,1,4,0,13,77,12,21,22,76,93,176,160,6,2,114,32,14,98,15,28,23,13,114,17,0,9,4,0,26,1
OTU092,35,40,37,4,44,0,0,56,57,50,0,0,2,16,72,105,0,58,80,1,40,8,33,47,0,33,6,0,9,61,0,2
