Name,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU227,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Dialister,
OTU228,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales,,,
OTU229,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, Kocuria, Rhizophila
OTU230,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus,
OTU231,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Epidermidis
OTU232,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria,
OTU233,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus,
OTU234,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae,,
OTU235,Bacteria, Firmicutes, Bacilli, Gemellales, Gemellaceae, Gemella,
OTU236,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Myroides, Odoratimimus
OTU237,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, Mastitidis
OTU238,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Epidermidis
OTU239,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus,
OTU240,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Aureus
OTU241,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Geodermatophilaceae,,
OTU242,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella,
OTU243,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Johnsonii
OTU244,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium,
OTU245,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Salinicoccus,
OTU246,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae,,
OTU247,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium,
OTU248,Bacteria, Firmicutes, Clostridia, Clostridiales, Tissierellaceae, Anaerococcus,
OTU249,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter,
OTU250,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Aureus
OTU251,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Aureus
OTU252,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Pettenkoferi
OTU253,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium,
OTU254,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Nocardioidaceae,,
OTU255,Bacteria, Cyanobacteria, Nostocophycideae, Stigonematales, Rivulariaceae, Calothrix,
OTU256,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae,,
OTU257,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia,
OTU258,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus,
OTU259,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus,
OTU260,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus,
OTU261,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,
OTU262,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus,
OTU263,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Aureus
OTU264,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Mycoplana,
OTU265,Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, Parainfluenzae
OTU266,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodoplanes,
OTU267,Bacteria, Firmicutes, Clostridia, Clostridiales, Tissierellaceae, Anaerococcus,
OTU268,Bacteria, Actinobacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium,
